CONSTI_NAME,CountiCode,SurName,OtherNames,COUNTY_NAME,
Ol Jorok,18,"Muchira, Michael Mwangi",NYANDARUA,
Ndaragwa,18,Jeremiah Ngayu Kioni,NYANDARUA,
Tetu,19,"Mwangi, James Gichuhi",NYERI,
Kieni,19,"Kega, Mathenge James Kanini",NYERI,
Mathira,19,"Gachagua, Rigathi",NYERI,
Othaya,19,"Mugambi, James Gichuki",NYERI,
Mukurweini,19,"Kiai, Anthony Githiaka",NYERI,
Nyeri Town,19,"Wambugu, Martin Deric Ngunjiri",NYERI,
Samburu East,25,"Lekumontare, Lentoi Joni L. Jackson",SAMBURU,
Samburu North,25,"Lentoimaga, Alois Musa",SAMBURU,
Samburu West,25,"Lesuuda, Josephine Naisula",SAMBURU,
Alego Usonga,41,"Atandi, Samuel Onunga",SIAYA,
Bondo,41,"Ogolla, Gideon Ochanda",SIAYA,
Gem,41,"Odhiambo, Elisha Ochieng",SIAYA,
Rarieda,41,"Amollo, Dr. Otiende",SIAYA,
Ugenya,41,"Ochieng, David Ouma",SIAYA,
Ugunja,41,James Upiyo Wandayi,SIAYA,
Taveta,6,"Shaban, Naomi Namsi",TAITA TAVETA,
Wundanyi,6,"Mwakuwona, Danson Mwashako",TAITA TAVETA,
Mwatate,6,"Mwadime, Andrew",TAITA TAVETA,
Voi,6,"Mlolwa, Jones Mwagogo",TAITA TAVETA,
Garsen,4,"Guyo, Ali Wario",TANA RIVER,
Galole,4,"Hiribae, Said Buya",TANA RIVER,
Bura,4,"Wario, Ali",TANA RIVER,
Maara,13,"Mbiuki, Japhet Miriti Kareke",THARAKA -NITHI,
Chuka/Igambang'ombe,13,"Ntwiga, Patrick Munene",THARAKA -NITHI,
Tharaka,13,"Murugara, George Gitonga",THARAKA -NITHI,
Kwanza,26,"Wanyonyi, Ferdinard Kevin",TRANZ NZOIA,
Endebess,26,Robert Pukose,TRANZ NZOIA,
Cherangany,26,"Serem, Joshua Kutuny",TRANZ NZOIA,
Saboti,26,"Luyai, Caleb Amisi",TRANZ NZOIA,
Kiminini,26,"Wakhungu, Chrisantus Wamalwa",TRANZ NZOIA,
Lioma,23,"Lomorukai, Jeremiah Ekamais",TURKANA,
Turkana Central,23,"Nakara, John Lodepe",TURKANA,
Turkana East,23,"Mohammed, Lokiru Ali",TURKANA,
Turkana North,23,"Nakuleu, Christopher Doye",TURKANA,
Turkana South,23,"Ekomwa, James Lomenen",TURKANA,
Turkana West,23,"Nanok, Daniel Epuyo",TURKANA,
Ainabkoi,27,"Chepkut, William Kamuren Chirchir",UASIN GISHU,
Kapseret,27,"Sudi, Oscar Kipchumba",UASIN GISHU,
Kesses,27,"Mishra, Swarup Ranjan",UASIN GISHU,
Moiben,27,"Tiren, Silas Kipkoech",UASIN GISHU,
Soy,27,"Kositany, Caleb Kipkemei",UASIN GISHU,
Turbo,27,"Sitienei, Janet Jepkemboi",UASIN GISHU,
Emuhaya,38,"Milemba, Jeremiah Omboko",VIHIGA,
Hamisi,38,"Gimose, Charles Gumini",VIHIGA,
Sabatia,38,"Masadia, Alfred Agoi",VIHIGA,
Vihiga,38,"Kivai, Ernest Ogesi",VIHIGA,
Luanda,38,"Omulele, Christopher",VIHIGA,
Eldas,8,"Keynan, Wehliye Adan",WAJIR,
Tarbaj,8,"Gaal, Ahmed Bashane",WAJIR,
Wajir North,8,"Ibrahim, Ahmed Abdisalan",WAJIR,
Wajir West,8,"Mohamed, Ahmed Kolosh",WAJIR,
Wajir East,8,"Amin, Rashid Kassim",WAJIR,
Wajir South,8,"Mohammed, Mohamud Sheikh",WAJIR,
Kacheliba,24,"Lomunokol, Mark",WEST POKOT,
Kapenguria,24,"Chumel, Samwel Moroto",WEST POKOT,
Sigor,24,"Lochakapong, Peter",WEST POKOT,
Pokot South,24,"Pkosing, David Losiakou",WEST POKOT,
Moyale,10,"Wario, Qalicha Gufu",MARSABIT,
North Horr,10,Chachu Ganya,MARSABIT,
Saku,10,Ali Rasso Dido,MARSABIT,
Laisamis,10,Arbelle Marselino Malimo,MARSABIT,
Tigania East,12,Josphat Gichunge Kabeabea,MERU,
Tigania West,12,John Kanyuithia Mutunga,MERU,
Igembe North,12,Maoka Richard Maore,MERU,
Igembe South,12,"Mwirigi, John Paul",MERU,
North Iment,12,"Dawood, Abdul Rahim",MERU,
South Imenti,12,"Murungi, Kathuri",MERU,
Igembe Central,12,"Iringo, Cyprian Kubai",MERU,
Central Imenti,12,"Kirima, Moses Nguchine",MERU,
Westlands,47,"Wetangula, Timothy Wanyonyi",NAIROBI CITY,
Dagoretti North,47,"Arati, Paul Simba",NAIROBI CITY,
Dagoretti South,47,"Waweru, John Kiarie",NAIROBI CITY,
Langata,47,"Korir, Generali Nixon Kiprotich",NAIROBI CITY,
Kibra,47,"Okoth, Benard Otieno",NAIROBI CITY,
Roysambu,47,"Ndirangu, Isaac Waihenya",NAIROBI CITY,
Kasarani,47,"Gakuya, Mercy Wanjiku",NAIROBI CITY,
Ruaraka,47,"Kajwang’, Francis Tom Joseph",NAIROBI CITY,
Embakasi South,47,"Mawathe, Julius Musili",NAIROBI CITY,
Embakasi North,47,"Gakuya, James Mwangi",NAIROBI CITY,
Embakasi Central,47,"Mwangi, Benjamin Gathiru",NAIROBI CITY,
Embakasi East,47,"Babu, Owino Paul Ongili",NAIROBI CITY,
Embakasi West,47,"Theuri, George",NAIROBI CITY,
Makadara,47,"Omwera, George Aladwa",NAIROBI CITY,
Kamukunji,47,"Abdi, Yusuf Hassan",NAIROBI CITY,
Starehe,47,"Kanyi, Charles Njagua",NAIROBI CITY,
Mathare,47,"Oluoch, Anthony Tom",NAIROBI CITY,
Molo,32,"Kimani, Francis Kuria",NAKURU,
Njoro,32,"Chepkwony, Charity Kathambi",NAKURU,
Naivasha,32,"Kihara, Jayne Njeri Wanjiru",NAKURU,
Gilgil,32,"Wanjira, Martha Wangari",NAKURU,
Kuresoi South,32,"Kipkosgei, Joseph Tonui",NAKURU,
Kuresoi North,32,"Cheboi, Moses Kipkemboi",NAKURU,
Subukia,32,"Gachobe, Samuel Kinuthia",NAKURU,
Rongai,32,"Moi, Kipruto",NAKURU,
Bahati,32,"Ngunjiri, Onesmas Kimani",NAKURU,
Nakuru Town West,32,"Arama, Samuel",NAKURU,
Nakuru Town East,32,"Gikaria, David",NAKURU,







































































































































































































































































































































































































































































































































































































































"    },",,
    {,,
"        ""CONSTITUEN"": ""CHEPALUNGU"",",,
"        ""CONSTI_CODE"": ""195""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""BOMET EAST"",",,
"        ""CONSTI_CODE"": ""196""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""SOTIK"",",,
"        ""CONSTI_CODE"": ""194""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""BOMET CENTRAL"",",,
"        ""CONSTI_CODE"": ""197""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""NORTH MUGIRANGO"",",,
"        ""CONSTI_CODE"": ""272""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""WEST MUGIRANGO"",",,
"        ""CONSTI_CODE"": ""271""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""KITUTU MASABA"",",,
"        ""CONSTI_CODE"": ""270""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""BORABU"",",,
"        ""CONSTI_CODE"": ""273""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""NYAKACH"",",,
"        ""CONSTI_CODE"": ""244""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""SEME"",",,
"        ""CONSTI_CODE"": ""241""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""NYANDO"",",,
"        ""CONSTI_CODE"": ""242""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""KISUMU WEST"",",,
"        ""CONSTI_CODE"": ""239""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""KISUMU EAST"",",,
"        ""CONSTI_CODE"": ""238""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""MUHORONI"",",,
